127.0.0.1, 2018-05-20 20:19:53, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001216
127.0.0.1, 2018-05-20 20:19:53, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001388
127.0.0.1, 2018-05-20 20:19:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001166
127.0.0.1, 2018-05-20 20:22:37, GET, /start/default/index, HTTP/1.1, 200, 0.049815
127.0.0.1, 2018-05-20 20:22:37, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000808
127.0.0.1, 2018-05-20 20:22:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000884
127.0.0.1, 2018-05-20 20:30:33, GET, /start/default/index, HTTP/1.1, 200, 0.052499
127.0.0.1, 2018-05-20 20:30:33, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001178
127.0.0.1, 2018-05-20 20:30:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000481
127.0.0.1, 2018-05-20 20:30:55, GET, /start/default/animal_select, HTTP/1.1, 200, 0.059201
127.0.0.1, 2018-05-20 20:30:55, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000870
127.0.0.1, 2018-05-20 20:30:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2018-05-20 20:32:38, GET, /start/default/animal_select, HTTP/1.1, 200, 0.057823
127.0.0.1, 2018-05-20 20:32:38, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000795
127.0.0.1, 2018-05-20 20:32:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2018-05-20 20:32:46, GET, /start/default/index, HTTP/1.1, 200, 0.039342
127.0.0.1, 2018-05-20 20:32:46, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000632
127.0.0.1, 2018-05-20 20:32:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000560
127.0.0.1, 2018-05-20 20:32:48, GET, /start/default/index, HTTP/1.1, 200, 0.029506
127.0.0.1, 2018-05-20 20:32:48, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000893
127.0.0.1, 2018-05-20 20:32:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2018-05-20 20:32:50, GET, /start/default/index, HTTP/1.1, 200, 0.043411
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.016030
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000546
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.026769
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.020505
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000982
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.022086
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.053258
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.129146
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.096455
127.0.0.1, 2018-05-20 20:32:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.086202
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.104520
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.180456
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.003259
127.0.0.1, 2018-05-20 20:32:51, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.082533
127.0.0.1, 2018-05-20 20:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
127.0.0.1, 2018-05-20 20:33:01, GET, /start/default/animal_select, HTTP/1.1, 200, 0.033655
127.0.0.1, 2018-05-20 20:33:01, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.003179
127.0.0.1, 2018-05-20 20:33:01, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000796
127.0.0.1, 2018-05-20 20:33:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2018-05-20 20:33:47, GET, /start/default/animal_select, HTTP/1.1, 200, 0.036854
127.0.0.1, 2018-05-20 20:33:47, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000870
127.0.0.1, 2018-05-20 20:33:47, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000877
127.0.0.1, 2018-05-20 20:33:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2018-05-20 20:33:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001292
127.0.0.1, 2018-05-20 20:33:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2018-05-20 20:34:23, GET, /start/default/animal_select, HTTP/1.1, 200, 0.028038
127.0.0.1, 2018-05-20 20:34:23, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000712
127.0.0.1, 2018-05-20 20:34:23, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000791
127.0.0.1, 2018-05-20 20:34:23, GET, /favicon.ico, HTTP/1.1, 400, 0.002110
127.0.0.1, 2018-05-20 20:34:29, GET, /start/default/index, HTTP/1.1, 200, 0.035030
127.0.0.1, 2018-05-20 20:34:29, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001284
127.0.0.1, 2018-05-20 20:34:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2018-05-20 20:34:31, GET, /start/default/index, HTTP/1.1, 200, 0.031248
127.0.0.1, 2018-05-20 20:34:31, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001115
127.0.0.1, 2018-05-20 20:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2018-05-20 20:34:35, GET, /start/default/animal_select, HTTP/1.1, 200, 0.038545
127.0.0.1, 2018-05-20 20:34:35, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000664
127.0.0.1, 2018-05-20 20:34:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000581
127.0.0.1, 2018-05-20 20:41:56, GET, /start/default/animal_select, HTTP/1.1, 200, 0.036984
127.0.0.1, 2018-05-20 20:41:56, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001216
127.0.0.1, 2018-05-20 20:41:56, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.002506
127.0.0.1, 2018-05-20 20:41:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2018-05-20 20:42:03, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.042719
127.0.0.1, 2018-05-20 20:42:03, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000615
127.0.0.1, 2018-05-20 20:42:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000437
127.0.0.1, 2018-05-20 20:42:07, GET, /start/default/animal_select, HTTP/1.1, 200, 0.024530
127.0.0.1, 2018-05-20 20:42:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2018-05-20 20:42:08, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.037348
127.0.0.1, 2018-05-20 20:42:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000234
127.0.0.1, 2018-05-20 20:42:37, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.024958
127.0.0.1, 2018-05-20 20:42:37, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001922
127.0.0.1, 2018-05-20 20:42:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2018-05-20 20:42:39, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.031014
127.0.0.1, 2018-05-20 20:42:39, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000961
127.0.0.1, 2018-05-20 20:42:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2018-05-20 20:42:41, GET, /start/default/animal_select, HTTP/1.1, 200, 0.025970
127.0.0.1, 2018-05-20 20:42:41, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001269
127.0.0.1, 2018-05-20 20:42:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2018-05-20 20:42:43, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.030671
127.0.0.1, 2018-05-20 20:42:43, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.002982
127.0.0.1, 2018-05-20 20:42:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2018-05-20 20:42:48, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.025693
127.0.0.1, 2018-05-20 20:42:49, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001544
127.0.0.1, 2018-05-20 20:42:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2018-05-20 20:42:50, GET, /start/default/index, HTTP/1.1, 200, 0.039804
127.0.0.1, 2018-05-20 20:42:50, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000916
127.0.0.1, 2018-05-20 20:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2018-05-20 20:42:51, GET, /start/default/animal_select, HTTP/1.1, 200, 0.034721
127.0.0.1, 2018-05-20 20:42:51, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000524
127.0.0.1, 2018-05-20 20:42:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2018-05-20 20:42:53, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.026462
127.0.0.1, 2018-05-20 20:42:53, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.003330
127.0.0.1, 2018-05-20 20:42:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2018-05-20 20:42:54, GET, /start/default/index, HTTP/1.1, 200, 0.027334
127.0.0.1, 2018-05-20 20:42:54, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001644
127.0.0.1, 2018-05-20 20:42:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2018-05-20 21:08:48, GET, /start/default/ugly_animals, HTTP/1.1, 200, 0.058258
127.0.0.1, 2018-05-20 21:08:48, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001228
127.0.0.1, 2018-05-20 21:08:48, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000539
127.0.0.1, 2018-05-20 21:08:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2018-05-20 21:11:13, GET, /start/default/ugly_animals, HTTP/1.1, 200, 0.034366
127.0.0.1, 2018-05-20 21:11:13, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.002025
127.0.0.1, 2018-05-20 21:11:13, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000529
127.0.0.1, 2018-05-20 21:11:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2018-05-20 21:11:15, GET, /start/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-05-20 21:11:16, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000566
127.0.0.1, 2018-05-20 21:11:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2018-05-20 21:11:18, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.042045
127.0.0.1, 2018-05-20 21:11:18, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.002391
127.0.0.1, 2018-05-20 21:11:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2018-05-20 21:11:19, GET, /start/default/ugly_animals, HTTP/1.1, 200, 0.040557
127.0.0.1, 2018-05-20 21:11:19, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000608
127.0.0.1, 2018-05-20 21:11:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2018-05-20 21:11:20, GET, /start/default/animal_select, HTTP/1.1, 200, 0.051104
127.0.0.1, 2018-05-20 21:11:20, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001219
127.0.0.1, 2018-05-20 21:11:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2018-05-20 21:11:22, GET, /start/default/index, HTTP/1.1, 200, 0.026415
127.0.0.1, 2018-05-20 21:11:22, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000581
127.0.0.1, 2018-05-20 21:11:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2018-05-20 21:11:44, GET, /start/default/index, HTTP/1.1, 200, 0.055816
127.0.0.1, 2018-05-20 21:11:44, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000555
127.0.0.1, 2018-05-20 21:11:45, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000486
127.0.0.1, 2018-05-20 21:11:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2018-05-20 21:11:51, GET, /start/default/index, HTTP/1.1, 200, 0.067661
127.0.0.1, 2018-05-20 21:11:51, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001096
127.0.0.1, 2018-05-20 21:11:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2018-05-20 21:20:48, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.036535
127.0.0.1, 2018-05-20 21:20:49, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001348
127.0.0.1, 2018-05-20 21:20:49, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.001003
127.0.0.1, 2018-05-20 21:20:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
127.0.0.1, 2018-05-20 21:20:50, GET, /start/default/animal_select, HTTP/1.1, 200, 0.047526
127.0.0.1, 2018-05-20 21:20:50, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000661
127.0.0.1, 2018-05-20 21:20:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2018-05-20 21:20:51, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.037915
127.0.0.1, 2018-05-20 21:20:51, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000706
127.0.0.1, 2018-05-20 21:20:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2018-05-20 21:20:53, GET, /start/default/cute_animals, HTTP/1.1, 200, 0.040019
127.0.0.1, 2018-05-20 21:20:53, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.003598
127.0.0.1, 2018-05-20 21:20:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2018-05-20 21:20:56, GET, /start/default/animal_select, HTTP/1.1, 200, 0.045979
127.0.0.1, 2018-05-20 21:20:56, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.000717
127.0.0.1, 2018-05-20 21:20:57, GET, /favicon.ico, HTTP/1.1, 400, 0.002872
127.0.0.1, 2018-05-20 21:21:02, GET, /start/default/animal_select, HTTP/1.1, 200, 0.032245
127.0.0.1, 2018-05-20 21:21:02, GET, /start/static/css/custom.css, HTTP/1.1, 404, 0.003197
127.0.0.1, 2018-05-20 21:21:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000801
